Rank,Location,AQI US,Followers
1,"Delhi, India",409,2.7M followers
2,"Lahore, Pakistan",257,351.5K followers
3,"Dhaka, Bangladesh",228,211.2K followers
4,"Kolkata, India",214,1.4M followers
5,"Jakarta, Indonesia",171,1.6M followers
6,"Mumbai, India",167,1.5M followers
7,"Skopje, North Macedonia",167,8.6K followers
8,"Shenyang, China",167,140.8K followers
9,"Wuhan, China",165,267.2K followers
10,"Dubai, United Arab Emirates",165,307.6K followers
11,"Accra, Ghana",161,3.6K followers
12,"Ulaanbaatar, Mongolia",161,44.9K followers
13,"Chengdu, China",156,1.6M followers
14,"Kathmandu, Nepal",153,125.3K followers
15,"Kuwait City, Kuwait",153,59.1K followers
16,"Hanoi, Vietnam",152,2.1M followers
17,"Shanghai, China",152,1.9M followers
18,"Chongqing, China",146,138.6K followers
19,"Karachi, Pakistan",144,59.9K followers
20,"Hangzhou, China",141,236.5K followers
21,"Doha, Qatar",133,89K followers
22,"Mexico City, Mexico",104,323.2K followers
23,"Sarajevo, Bosnia Herzegovina",104,36.9K followers
24,"Baghdad, Iraq",102,15.3K followers
25,"Zagreb, Croatia",97,9.1K followers
26,"Beijing, China",95,5.5M followers
27,"Algiers, Algeria",85,36K followers
28,"Seoul, South Korea",84,5.1M followers
29,"Oslo, Norway",82,19K followers
30,"Guangzhou, China",82,1.4M followers
31,"Shenzhen, China",78,311.8K followers
32,"Incheon, South Korea",78,14.8K followers
33,"Chiang Mai, Thailand",78,11.4M followers
34,"Jerusalem, Israel",74,56.8K followers
35,"Bogota, Colombia",72,74.5K followers
36,"Yangon, Myanmar",72,13.4K followers
37,"Belgrade, Serbia",69,155.7K followers
38,"Kampala, Uganda",66,8.3K followers
39,"Kaohsiung, Taiwan",66,651K followers
40,"Hong Kong, Hong Kong SAR",66,595K followers
41,"Lyon, France",65,472.6K followers
42,"Madrid, Spain",64,307.3K followers
43,"Nice, France",63,441.1K followers
44,"Bangkok, Thailand",63,5M followers
45,"Milano, Italy",61,63.9K followers
46,"Busan, South Korea",61,116.4K followers
47,"Detroit, USA",59,21.8K followers
48,"Nairobi, Kenya",59,10.9K followers
49,"Chicago, USA",57,30.1K followers
50,"Tel Aviv-Yafo, Israel",56,72K followers
51,"Kuching, Malaysia",54,47.3K followers
52,"Ho Chi Minh City, Vietnam",54,2.1M followers
53,"Phnom Penh, Cambodia",53,373.8K followers
54,"Toronto, Canada",51,298.9K followers
55,"Montreal, Canada",51,95.2K followers
56,"Rome, Italy",50,43.9K followers
57,"Pristina, Kosovo",47,8.5K followers
58,"Lima, Peru",46,32.4K followers
59,"Sofia, Bulgaria",46,102.3K followers
60,"Astana, Kazakhstan",45,17K followers
61,"Osaka, Japan",45,36.8K followers
62,"Minneapolis, USA",45,11.7K followers
63,"Johannesburg, South Africa",43,59.1K followers
64,"Krakow, Poland",43,288.8K followers
65,"Portland, USA",43,99.8K followers
66,"New York City, USA",42,1.8M followers
67,"Moscow, Russia",39,700.3K followers
68,"Singapore, Singapore",37,783.1K followers
69,"Warsaw, Poland",36,305.8K followers
70,"Tokyo, Japan",35,905.1K followers
71,"Riyadh, Saudi Arabia",33,75.7K followers
72,"Amsterdam, Netherlands",33,217.6K followers
73,"Kuala Lumpur, Malaysia",33,343.7K followers
74,"Washington, D.C., USA",32,26.1K followers
75,"Bratislava, Slovakia",31,35.4K followers
76,"Wroclaw, Poland",29,246.3K followers
77,"Vienna, Austria",29,127.9K followers
78,"Istanbul, Turkey",28,199.3K followers
79,"Brussels, Belgium",28,130.1K followers
80,"Paris, France",28,4.3M followers
81,"Bern, Switzerland",27,77.7K followers
82,"Denver, USA",27,1.5M followers
83,"Poznan, Poland",26,6.3K followers
84,"Taipei, Taiwan",26,912.3K followers
85,"Berlin, Germany",26,167.1K followers
86,"Seattle, USA",26,263.6K followers
87,"Los Angeles, USA",26,4.8M followers
88,"Kyoto, Japan",25,68.6K followers
89,"Sao Paulo, Brazil",25,73.9K followers
90,"Nagoya, Japan",25,6K followers
91,"Bishkek, Kyrgyzstan",24,26.2K followers
92,"Rotterdam, Netherlands",23,115.7K followers
93,"Budapest, Hungary",23,14.6K followers
94,"Prague, Czech Republic",23,97.9K followers
95,"Santiago, Chile",21,89K followers
96,"Kobe, Japan",21,25.3K followers
97,"London, United Kingdom",20,150.7K followers
98,"Tashkent, Uzbekistan",18,49.5K followers
99,"Krasnoyarsk, Russia",18,88.9K followers
100,"Kyiv, Ukraine",18,243.1K followers
101,"Helsinki, Finland",17,67.4K followers
102,"Canberra, Australia",17,261.1K followers
103,"Vancouver BC, Canada",15,82.6K followers
104,"Munich, Germany",14,316.1K followers
105,"Houston, USA",13,18.6K followers
106,"San Francisco, USA",13,527.9K followers
107,"Melbourne, Australia",12,249.6K followers
108,"Sydney, Australia",6,1.6M followers
109,"Salt Lake City, USA",0,35.8K followers
